question,Labrador_retriever,Golden_retriever,German_shepherd,French_bulldog,Chihuahua,beagle,Siberian_husky,boxer,Border_collie,Shih-Tzu
Chó nào có thể tham gia các hoạt động thể thao nhưng dễ bị chấn thương?,1,1,0,0,0,1,1,0,1,0
Loài chó nào có thể sống tốt với các vật nuôi khác nhưng yêu cầu chăm sóc kỹ lưỡng?,1,1,0,1,0,1,0,1,0,1
Chó nào có tính cách thân thiện với người lạ nhưng vẫn có bản năng bảo vệ?,1,1,1,0,0,1,1,1,1,0
Loài chó nào dễ mắc bệnh về xương và yêu cầu chế độ ăn uống giàu canxi?,1,1,1,0,0,1,1,0,0,0
Chó nào thích hợp với người sống một mình và yêu cầu ít chăm sóc lông?,1,1,0,1,0,1,0,1,0,1
Loài chó nào dễ sống trong điều kiện khí hậu nóng nhưng yêu cầu tập thể dục đều đặn?,0,0,0,1,1,1,0,0,0,1
Chó nào có khả năng thích nghi tốt với môi trường đông đúc và yêu cầu sự huấn luyện chặt chẽ?,1,1,1,0,0,1,1,1,1,0
Loài chó nào có tính cách vui vẻ và phù hợp với gia đình có trẻ nhỏ?,1,1,0,1,0,1,0,1,0,1
Chó nào dễ mắc các bệnh về mắt nhưng yêu cầu ít vận động?,0,0,1,1,0,0,0,0,0,1
Loài chó nào dễ sống với các vật nuôi khác và không gây rắc rối khi sống trong căn hộ?,0,0,0,1,1,1,0,0,0,1
Chó nào dễ mắc các bệnh về tiêu hóa nhưng yêu thương chủ nhân hết mực?,1,1,0,1,0,1,0,1,0,1
Loài chó nào thích tham gia các hoạt động thể thao nhưng yêu cầu chăm sóc sức khỏe đặc biệt?,1,1,0,0,0,1,1,1,1,0
Chó nào có thể sống tốt trong môi trường đô thị nhưng dễ mắc các bệnh về lông?,1,1,0,0,0,1,1,0,1,0
Loài chó nào phù hợp với người cao tuổi và yêu cầu ít vận động?,1,1,0,1,0,1,0,0,0,1
Chó nào thích hợp sống với gia đình đông người nhưng yêu cầu sự quan tâm từ chủ?,1,1,0,1,0,1,0,1,0,1
Loài chó nào có thể tham gia vào các hoạt động bảo vệ và yêu cầu sự huấn luyện thường xuyên?,0,1,1,0,0,0,1,1,0,0
Chó nào có tính cách mạnh mẽ và có thể tham gia các cuộc thi bảo vệ?,0,1,1,0,0,0,1,1,0,0
Loài chó nào có thể sống tốt trong căn hộ mà không gây rắc rối cho hàng xóm?,1,1,0,1,0,1,0,1,0,1
Chó nào dễ mắc bệnh béo phì nhưng yêu thương trẻ nhỏ?,1,1,0,1,0,1,0,1,0,1
Loài chó nào phù hợp với gia đình có trẻ nhỏ và không cần chăm sóc lông nhiều?,1,1,0,1,0,1,0,1,0,1
Loài chó nào dễ bị các vấn đề về xương khớp và cần sự chăm sóc đặc biệt?,1,1,1,0,0,0,1,1,0,0
Chó nào có tuổi thọ cao nhưng dễ mắc các bệnh về hô hấp?,0,0,1,1,1,1,0,0,0,1
Loài chó nào yêu cầu chăm sóc lông thường xuyên để tránh bệnh da liễu?,0,0,0,1,0,0,1,1,1,1
Chó nào thích hợp sống trong môi trường nóng nhưng yêu cầu vận động ít?,0,0,0,1,1,1,0,0,0,1
Loài chó nào dễ chịu được thời tiết lạnh và có bộ lông dày để bảo vệ?,1,1,1,0,0,1,1,0,1,0
Chó nào có thể sống tốt trong căn hộ nhưng cần đi dạo thường xuyên?,0,0,0,1,1,1,0,0,0,1
Loài chó nào bảo vệ tốt nhưng vẫn thân thiện với gia đình và trẻ em?,1,1,1,0,0,1,1,1,1,0
Chó nào dễ huấn luyện nhưng yêu cầu chủ có kinh nghiệm?,1,1,1,0,0,1,1,1,1,0
Loài chó nào có thể sống chung tốt với các loài vật khác nhưng yêu cầu sự chú ý thường xuyên?,1,1,0,1,0,1,0,1,0,1
Chó nào có kích thước lớn và yêu cầu không gian rộng để vận động?,1,1,1,0,0,1,1,1,1,0
Loài chó nào nhỏ gọn và phù hợp với căn hộ nhưng cần vận động đều đặn?,0,0,0,1,1,1,0,0,0,1
Chó nào có nhu cầu vận động cao và thích hợp với các hoạt động ngoài trời?,1,1,1,0,0,1,1,1,1,0
